0,pop_migrated,MOE +/-,state_population,state_pop_adjusted,moe_adjusted
Alabama,0,286,5024279,0.0,5.692359042959199e-05
Alaska,0,286,733391,0.0,0.0003899693342296265
Arizona,490,573,7151502,6.851707515428227e-05,8.012302870082396e-05
Arkansas,0,286,3011524,0.0,9.496852756278881e-05
California,2348,1010,39538223,5.9385572285330075e-05,2.5544901195989512e-05
Colorado,269,250,5773714,4.659046152961508e-05,4.329968543644524e-05
Connecticut,261,209,3605944,7.238049176581777e-05,5.795985739101883e-05
Delaware,357,346,989948,0.00036062500252538517,0.000349513307769701
Florida,1103,461,21538187,5.1211367047746406e-05,2.140384425114333e-05
Georgia,319,209,10711908,2.977994209808374e-05,1.951099654702038e-05
Hawaii,56,92,1455271,3.8480805293309633e-05,6.321846583900867e-05
Idaho,0,286,1839106,0.0,0.00015551034035014838
Illinois,1519,812,12812508,0.00011855602353575116,6.337557018500984e-05
Indiana,192,141,6785528,2.829551362841624e-05,2.0779517820868177e-05
Iowa,0,286,3190369,0.0,8.96448028425552e-05
Kansas,0,286,2937880,0.0,9.734910888123409e-05
Kentucky,32,55,4505836,7.101900734957952e-06,1.220639188820898e-05
Louisiana,271,330,4657757,5.818251145347428e-05,7.084955269242255e-05
Maine,174,206,1362359,0.0001277196392434006,0.00015120830852954323
Massachusetts,2579,1021,7029917,0.00036686066137053965,0.000145236423132734
Michigan,122,123,10077331,1.210638015164928e-05,1.2205612775843128e-05
Minnesota,363,257,5706494,6.361173778505681e-05,4.503640939603196e-05
Mississippi,0,286,2961279,0.0,9.657988997321765e-05
Missouri,68,113,6154913,1.1048084676420284e-05,1.8359317182874883e-05
Montana,0,286,1084225,0.0,0.0002637828863935069
Nebraska,186,191,1961504,9.482519536029496e-05,9.737425975170073e-05
Nevada,0,286,3104614,0.0,9.212095287852209e-05
New Hampshire,66,112,1377529,4.791187699133739e-05,8.13050033792392e-05
New Jersey,954,551,9288994,0.00010270218712596864,5.931751059371984e-05
New Mexico,212,248,2117522,0.00010011702357755906,0.0001171180275812955
New York,2801,1081,20201249,0.00013865479307739834,5.3511542776389714e-05
North Carolina,2156,1278,10439388,0.00020652551662990207,0.0001224209695051089
North Dakota,0,286,779094,0.0,0.0003670930593740935
Ohio,216,204,11799448,1.8305941091481567e-05,1.7288944364177035e-05
Oklahoma,127,152,3959353,3.207594776217225e-05,3.839011070748175e-05
Oregon,176,174,4237256,4.153631501141305e-05,4.10643114317379e-05
Pennsylvania,898,517,13002700,6.906257931045091e-05,3.9760972721050245e-05
Puerto Rico,179,232,3285874,5.4475612881078214e-05,7.060526362240305e-05
Rhode Island,55,92,1097379,5.011942091109817e-05,8.383612225129149e-05
South Carolina,397,442,5118425,7.756292218797774e-05,8.635468918661502e-05
South Dakota,0,286,886667,0.0,0.0003225562697156881
Tennessee,367,388,6910840,5.310497710842676e-05,5.6143681520625566e-05
Texas,730,503,29145505,2.5046743914713434e-05,1.7258235875480626e-05
Utah,796,1029,3271616,0.0002433048377315675,0.0003145234648565113
Vermont,27,46,643077,4.198564091080851e-05,7.15310919221182e-05
Washington,443,354,7705281,5.749303626954033e-05,4.594251656753336e-05
West Virginia,389,376,1793716,0.00021686822217117983,0.00020962069803692448
Wisconsin,49,82,5893718,8.313936974928221e-06,1.3913119019267634e-05
Wyoming,0,286,576851,0.0,0.0004957952746896513
