,state,2021_anomaly,winning_party
7,Delaware,7.831060272767267,DEMOCRAT
18,Maine,7.683109118086696,DEMOCRAT
15,Kansas,6.589519650655022,REPUBLICAN
26,Nevada,5.787824529991047,DEMOCRAT
44,Washington,4.924119241192412,DEMOCRAT
34,Oklahoma,4.621087314662273,REPUBLICAN
21,Minnesota,2.8978179882916444,DEMOCRAT
11,Idaho,2.473404255319149,REPUBLICAN
47,Wyoming,2.4489795918367347,REPUBLICAN
33,Ohio,2.15625,REPUBLICAN
27,New Hampshire,2.0802919708029197,DEMOCRAT
35,Oregon,2.0,DEMOCRAT
24,Montana,1.8895348837209303,REPUBLICAN
2,Arizona,1.8475877192982455,DEMOCRAT
45,West Virginia,1.7621509824198553,REPUBLICAN
